variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
NL-SHADE,20,1,4,0.0,64.15,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,26,0.0,65.26,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,15,0.0,65.61,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,11,0.0,65.69,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,8,0.0,67.18,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,21,0.0,67.44,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,29,0.0,67.66,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,27,0.0,69.6,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,16,0.0,69.69,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,17,0.0,69.8,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,2,0.0,70.02,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,3,0.0,70.07,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,5,0.0,70.64,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,18,0.0,71.04,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,19,0.0,71.43,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,22,49.08447897948122,71.98,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,29,49.08447897948122,72.43,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,2,49.08447897948122,72.58,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,9,49.08447897948122,73.34,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,14,0.0,73.61,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,5,49.08447897948122,73.69,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,0,0.0,73.81,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,28,0.0,73.91,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,14,49.08447897948122,74.2,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,18,49.08447897948122,74.65,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,26,49.08447897948122,74.92,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,3,49.08447897948122,74.93,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,28,49.08447897948122,75.53,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,7,0.0,75.85,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,6,49.08447897948122,76.23,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,23,49.08447897948122,77.38,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,11,49.08447897948122,78.39,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,12,0.0,78.65,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,0,0.0,80.45,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,21,0.0,81.0,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,15,0.0,81.43,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,16,0.0,81.48,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,7,0.0,81.72,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,13,0.0,81.92,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,5,0.0,81.99,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,11,0.0,82.0,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,16,49.08447897948122,82.03,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,12,0.0,82.21,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,19,0.0,83.04,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,14,0.0,83.17,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,10,0.0,83.88,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,4,49.08447897948122,85.05,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,4,0.0,85.51,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,1,0.0,86.86,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,10,49.08447897948122,87.67,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,29,0.0,87.68,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,20,0.0,88.02,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,8,49.08447897948122,88.06,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,2,0.0,89.76,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,12,49.08447897948122,91.21,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,6,0.0,92.17,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,8,0.495011941865414,92.35,,,,,4.035894217000077,0.49612660114803475,0.49511269466438534,0.4950119505645034,0.495011941865414
NL-SHADE,20,1,1,0.0,92.67,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,21,49.08447897948122,93.13,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,27,49.08447897948122,93.22,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,15,49.08447897948122,93.46,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,22,0.0,93.52,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,0,0.26916374107509,93.7,,,,,6.705732753712255,0.3030864939753428,0.2691862807364487,0.26916558141147107,0.26916374107509
NL-SHADE,20,2,19,49.08447897948122,94.2,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,18,0.0,94.24,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,24,0.0,95.69,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,1,0.49887285635259104,96.99,,,,,2.590225707578611,0.4993342928621587,0.4989874820307705,0.498880122456967,0.49887285635259104
NL-SHADE,20,6,6,0.49603744339606237,97.52,,,,,2.5604434085564662,0.4973028561630599,0.4962206872455681,0.4960375833202306,0.49603744339606237
NL-SHADE,20,5,8,0.0,98.15,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,25,49.08447897948122,98.46,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,6,7,0.4966197245018975,100.2,,,,,2.9480602081905545,0.4979238326491213,0.49697436462247424,0.49661972497301576,0.4966197245018975
NL-SHADE,20,3,3,0.0,102.01,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,17,0.0,102.1,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,27,0.0,102.41,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,0,49.08447897948122,102.49,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,3,26,0.0,103.5,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,1,0.0,103.62,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,17,49.08447897948122,103.88,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,3,21,0.0,104.45,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,2,0.0,104.53,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,22,0.0,104.66,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,25,0.0,105.43,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,12,0.0,105.49,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,20,49.08447897948122,109.04,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,6,9,0.49441672145144366,110.56,,,,,2.5609317857338283,0.4952515352874798,0.4944178923224172,0.494416726159443,0.49441672145144366
NL-SHADE,20,5,20,0.0,110.86,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,23,0.0,111.16,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,9,0.0,115.23,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,6,0.0,118.31,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,16,0.0,120.0,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,2,0.49982943359736964,121.87,,,,,4.635328952044119,0.499887977667413,0.4998297317397373,0.49982945759416,0.49982943359736964
NL-SHADE,20,3,5,0.0,122.4,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,22,0.0,124.26,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,25,0.0,124.43,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,13,0.0,128.25,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,23,0.0,128.95,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,10,0.0,129.17,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,23,0.0,129.39,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,1,49.08447897948122,131.23,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,3,9,0.0,133.72,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,11,0.0,136.78,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,6,0.0,136.83,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,4,4,34.00006953662694,138.63,,,,,82.90791388401249,35.643291168386895,34.00802527846679,34.001353164960506,34.00006953662694
NL-SHADE,20,4,29,26.00000000243324,139.43,,,,,67.46784056065985,26.36354581823298,26.000564346213082,26.00002325317746,26.00000000243324
NL-SHADE,20,4,2,34.00000000093712,139.79,,,,,59.778676654401465,34.01855520405593,34.000282641305375,34.000040553517124,34.00000000093712
NL-SHADE,20,2,13,49.08447897948122,140.68,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,4,12,40.000000065644144,141.09,,,,,74.39728293987446,40.01421377659483,40.0002392261415,40.00001729447172,40.000000065644144
NL-SHADE,20,4,19,40.00000011958821,141.43,,,,,75.1237509947997,40.137926874873074,40.00292458241438,40.00008486254001,40.00000011958821
NL-SHADE,20,4,27,34.0,141.57,,,,,66.15063367151924,34.053970727714955,34.00014862737726,34.00002561498343,34.0
NL-SHADE,20,4,24,16.000000000000114,142.46,,,,,58.482816610987584,16.331457562879336,16.003673001876905,16.000356522975153,16.000000000000114
NL-SHADE,20,4,21,28.0,142.55,,,,,52.04517575843931,28.263938143329142,28.00091848161219,28.000063258822365,28.0
NL-SHADE,20,3,10,0.0,142.67,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,4,16,40.00000001770934,142.74,,,,,64.33350264718524,40.026526899188184,40.00037205115598,40.00002087775022,40.00000001770934
NL-SHADE,20,2,24,49.08447897948122,143.45,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,5,17,0.0,145.08,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,7,49.08447897948122,145.77,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,4,5,22.0,145.8,,,,,57.949890896640795,22.11859710769079,22.001291027378556,22.000037220126956,22.0
NL-SHADE,20,4,8,46.00000819580555,147.08,,,,,74.39776681215994,46.294538487332716,46.007397012107845,46.00035743609192,46.00000819580555
NL-SHADE,20,4,25,40.0,148.52,,,,,62.07962252082109,40.02048403068932,40.0000575409606,40.000013874059846,40.0
NL-SHADE,20,5,25,0.0,148.59,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,9,0.0,149.96,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,0,0.0,150.11,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,10,0.49581002311538214,86.38,,,,,1.7018782142295095,0.49723707037583154,0.4958251335949626,0.4958144700735829,0.49581002311538214
NL-SHADE,20,6,5,0.49617954074028603,152.27,,,,,2.386589251404075,0.4973908865572412,0.49643663194729015,0.4961807883073561,0.49617954074028603
NL-SHADE,20,6,11,0.34408908699901986,87.95,,,,,3.291295333015796,0.3790697568306314,0.35672378373760694,0.3440900115253953,0.34408908699901986
NL-SHADE,20,6,12,0.479797685869471,87.96,,,,,1.618470635116637,0.48136091009291704,0.4798119976176167,0.479797685869471,0.479797685869471
NL-SHADE,20,6,13,0.499981547988682,89.74,,,,,2.6711369343952356,0.49999346907952713,0.4999830060887689,0.49998155594403215,0.499981547988682
NL-SHADE,20,3,18,0.0,155.88,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,15,0.25605171493407397,89.25,,,,,3.6903236969528734,0.29269104437730675,0.2720874627239027,0.2560547078585387,0.25605171493407397
NL-SHADE,20,6,14,0.4999874370573707,89.59,,,,,1.9691584506165327,0.4999924403557543,0.49998848268160145,0.4999874370755606,0.4999874370573707
NL-SHADE,20,6,23,0.4608191998190705,86.25,,,,,2.1301020027349296,0.47224263843600056,0.4608837070404661,0.4608192348241573,0.4608191998190705
NL-SHADE,20,5,28,0.0,157.96,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,5,27,0.0,158.01,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,4,13,42.00000072017531,158.53,,,,,87.22700216872886,42.392454620610124,42.001800385205456,42.0000100393662,42.00000072017531
NL-SHADE,20,6,20,1.4868314102327531,88.76,,,,,3.9241594749626074,1.4893781880423376,1.4868346078503691,1.4868314971388372,1.4868314102327531
NL-SHADE,20,4,6,34.00000000141006,159.06,,,,,57.01312216746123,34.04373972528424,34.00012037720592,34.0000081790281,34.00000000141006
NL-SHADE,20,6,25,0.43572413345486893,87.78,,,,,4.09953363342197,0.4531907623711504,0.4403370616887514,0.4357255172812984,0.43572413345486893
NL-SHADE,20,5,24,0.0,160.05,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,3,0.43533374547473613,160.08,,,,,4.318802050682507,0.4607416842948169,0.4364430388986875,0.4353345519484719,0.43533374547473613
NL-SHADE,20,6,26,0.4513707229573356,87.97,,,,,2.136720886752528,0.4657826394111453,0.45554571973639213,0.45137221245454384,0.4513707229573356
NL-SHADE,20,5,3,0.0,160.56,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,28,0.2707632473193371,87.41,,,,,3.3558943850368905,0.28483724249986153,0.27083040022125715,0.270763442389125,0.2707632473193371
NL-SHADE,20,6,27,0.23191844193434008,88.54,,,,,2.472438891765023,0.30414310920764365,0.23243080177235242,0.23192092881890858,0.23191844193434008
NL-SHADE,20,6,17,0.4991410763248041,91.69,,,,,1.4052437099171584,0.49935209775026124,0.49914177063465104,0.4991410800837457,0.4991410763248041
NL-SHADE,20,6,21,0.3059625838568536,91.32,,,,,3.38866444704081,0.38136934305998693,0.30599127951654737,0.30596328841738796,0.3059625838568536
NL-SHADE,20,6,29,1.4798570045193173,87.78,,,,,5.795501913576572,1.4847459386210176,1.4819474272699154,1.4798570230236692,1.4798570045193173
NL-SHADE,20,6,22,0.4969040578575914,91.16,,,,,1.3452397937064688,0.4980992798018633,0.497109998191263,0.4969292012046935,0.4969040578575914
NL-SHADE,20,5,26,0.0,161.8,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,18,0.49094630246486304,92.15,,,,,5.226459749649393,0.4939500778148158,0.49127210106416896,0.4909463062097075,0.49094630246486304
NL-SHADE,20,6,4,0.45484848217142826,162.21,,,,,2.302675233708669,0.4717701922197648,0.4597710079376611,0.45485084564961653,0.45484848217142826
NL-SHADE,20,6,19,0.45922614022788366,93.19,,,,,2.2788084177373094,0.47052024410618287,0.4592270417083455,0.4592262483849936,0.45922614022788366
NL-SHADE,20,4,23,36.000000013613885,165.01,,,,,74.9120079408167,36.21832504382621,36.00040861468369,36.00008426987483,36.000000013613885
NL-SHADE,20,3,19,0.0,171.06,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,28,0.0,171.68,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,20,0.0,173.84,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,29,0.0,174.67,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,15,0.0,175.2,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,13,0.0,175.26,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,4,0.0,176.59,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,7,0.0,177.43,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,8,0.0,184.29,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,14,0.0,184.38,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,3,24,0.0,185.2,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,6,16,0.4050633745791856,123.44,,,,,3.9451205877223856,0.44020638710708226,0.412619459944608,0.40542011800675937,0.4050633745791856
NL-SHADE,20,4,10,32.0,197.93,,,,,84.54178881253381,32.045705694760386,32.000564173102134,32.00011727224296,32.0
NL-SHADE,20,4,18,34.0,197.95,,,,,76.40590512282495,34.01551295224601,34.00002046291047,34.00001014943837,34.0
NL-SHADE,20,4,28,38.00000396651478,199.35,,,,,56.42212136907983,38.58911610964651,38.00673904481016,38.0008972650337,38.00000396651478
NL-SHADE,20,4,9,30.000000130210992,201.97,,,,,50.83278265197271,34.14944116972424,30.007262746274023,30.000097575225823,30.000000130210992
NL-SHADE,20,4,11,46.00000006203334,225.72,,,,,77.46876218004559,46.10418973961009,46.00004728036663,46.00001751813397,46.00000006203334
NL-SHADE,20,4,17,26.0,226.54,,,,,68.55140079319688,26.040006560449683,26.003240647725647,26.000156684102876,26.0
NL-SHADE,20,4,20,34.0,227.25,,,,,57.897319573577875,34.15182127380467,34.000147367786326,34.00003009699617,34.0
NL-SHADE,20,4,14,20.0,232.54,,,,,35.39693361368177,20.26749021341061,20.001979759283017,20.00005669410882,20.0
NL-SHADE,20,4,7,18.000000000000114,234.03,,,,,54.84805894936062,18.38461884544415,18.0007120564494,18.000071653447776,18.000000000000114
NL-SHADE,20,4,3,24.000000294219717,234.47,,,,,64.17458035053414,24.15908899647934,24.00079156128197,24.000033918484178,24.000000294219717
NL-SHADE,20,4,0,28.00000095604446,235.01,,,,,51.342333626823006,28.289353660122515,28.00323933401353,28.000033354057905,28.00000095604446
NL-SHADE,20,4,26,28.000000059174113,236.19,,,,,71.14786651764564,28.03114456740161,28.002105966907493,28.000025265445174,28.000000059174113
NL-SHADE,20,4,1,30.00000044227295,236.24,,,,,52.60179862163136,30.057791399932967,30.000514434479555,30.000030917943036,30.00000044227295
NL-SHADE,20,4,15,22.0,236.23,,,,,65.0701693658068,22.123348417508282,22.00065241306436,22.000130882112785,22.0
NL-SHADE,20,4,22,24.0,236.7,,,,,63.66182177642713,25.201117180302163,24.001124551700173,24.000442502920123,24.0
NL-SHADE,20,6,24,0.4993999425803395,166.54,,,,,3.98258006440642,0.4995737253148036,0.49940973114462395,0.4993999425803395,0.4993999425803395
NL-SHADE,20,9,0,335.6387702715756,186.53,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,2,335.63877027157605,187.68,,,,,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605
NL-SHADE,20,9,6,335.6387702715756,185.9,,,,,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,4,335.6387702715756,189.79,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,11,335.6387702715756,182.18,,,,,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,9,335.63877027157605,186.81,,,,,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605
NL-SHADE,20,9,17,335.6387702715756,188.59,,,,,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,23,335.6387702715756,182.23,,,,,335.63877027157605,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,22,335.6387702715756,185.45,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,28,335.6387702715756,184.82,,,,,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,24,335.6387702715756,188.73,,,,,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,10,2,398.7957610871549,185.84,,,,,398.7957610871549,398.7957610871549,398.7957610871549,398.7957610871549,398.7957610871549
NL-SHADE,20,9,27,335.63877027157605,188.09,,,,,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605
NL-SHADE,20,9,21,335.6387702715756,192.72,,,,,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,29,335.6387702715756,187.22,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,26,335.6387702715756,189.6,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,10,14,402.1894508229843,178.58,,,,,402.1894508229843,402.1894508229843,402.1894508229843,402.1894508229843,402.1894508229843
NL-SHADE,20,10,15,396.56598271476605,179.2,,,,,396.56598271476605,396.56598271476605,396.56598271476605,396.56598271476605,396.56598271476605
NL-SHADE,20,10,4,400.5144455432787,188.81,,,,,400.5144455432787,400.5144455432787,400.5144455432787,400.5144455432787,400.5144455432787
NL-SHADE,20,10,10,396.56598271476605,184.28,,,,,396.56598271476605,396.56598271476605,396.56598271476605,396.56598271476605,396.56598271476605
NL-SHADE,20,10,20,397.29424551056536,178.95,,,,,397.29424551056536,397.29424551056536,397.29424551056536,397.29424551056536,397.29424551056536
NL-SHADE,20,10,16,397.29424551056536,182.06,,,,,397.29424551056536,397.29424551056536,397.29424551056536,397.29424551056536,397.29424551056536
NL-SHADE,20,10,26,396.56598271476605,178.01,,,,,396.56598271476605,396.56598271476605,396.56598271476605,396.56598271476605,396.56598271476605
NL-SHADE,20,10,23,399.4114380521437,179.86,,,,,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437
NL-SHADE,20,10,13,399.4114380521437,186.25,,,,,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437
NL-SHADE,20,10,19,399.08925470604754,183.48,,,,,399.08925470604754,399.08925470604754,399.08925470604754,399.08925470604754,399.08925470604754
NL-SHADE,20,10,24,399.4114380521437,184.68,,,,,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437
NL-SHADE,20,9,13,335.6387702715756,230.7,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,10,18,399.4114380521437,201.02,,,,,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437,399.4114380521437
NL-SHADE,20,10,29,399.08925470604754,198.94,,,,,399.08925470604754,399.08925470604754,399.08925470604754,399.08925470604754,399.08925470604754
NL-SHADE,20,9,1,335.6387702715756,281.05,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,3,335.63877027157605,282.67,,,,,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605,335.63877027157605
NL-SHADE,20,9,12,335.6387702715756,276.07,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,9,8,335.6387702715756,282.15,,,,,335.63877027157605,335.6387702715756,335.6387702715756,335.6387702715756,335.6387702715756
NL-SHADE,20,10,17,398.7957610871549,246.91,,,,,398.7957610871549,398.7957610871549,398.7957610871549,398.7957610871549,398.7957610871549
NL-SHADE,20,10,12,402.03016001033893,275.42,,,,,402.03016001033893,402.03016001033893,402.03016001033893,402.03016001033893,402.03016001033893
NL-SHADE,20,10,8,397.23571045843573,281.24,,,,,409.5908267511604,400.68854169546967,399.8133685849957,397.305176569168,397.23571045843573
NL-SHADE,20,11,1,4.547473508864641e-13,279.19,,,,,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
NL-SHADE,20,11,4,4.547473508864641e-13,279.02,,,,,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
NL-SHADE,20,11,2,4.547473508864641e-13,280.61,,,,,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
NL-SHADE,20,11,6,4.547473508864641e-13,280.05,,,,,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
